countries,ABW,AFG,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GTM,GUF,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNG,MOZ,MRT,MTQ,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PYF,QAT,REU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,STP,SUR,SVK,SVN,SWE,SWZ,SYR,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
ABW,5.225315,13257.81,9516.913,9091.742,12735.01,5396.22,11107.78,15237.5,8719.13,11503.0,11120.47,7847.07,7979.945,7414.016,15473.46,9348.039,12308.36,1588.515,8936.664,9382.626,2076.216,3240.231,4759.608,1139.24,18008.87,15070.87,11196.28,9771.96,3573.887,8056.332,5125.68,14155.35,7293.883,9014.291,9613.901,1036.634,12802.65,5036.386,1550.772,1754.738,10403.22,8560.899,8034.389,12186.87,8408.59,663.0993,7686.407,1698.399,10383.61,11620.09,6124.013,7121.524,9088.512,11817.33,9087.563,12692.41,7685.884,14263.71,8868.927,7541.243,11056.94,7697.944,5940.813,980.5495,5785.502,5912.736,8721.603,9491.157,911.348,2220.068,2128.791,1458.406,16131.13,1863.05,8716.868,709.3878,8927.636,19240.39,14258.17,7174.017,11880.18,11426.34,6827.22,10635.04,8480.133,938.3511,10744.01,13815.84,12977.21,11887.17,12891.46,17292.0,14183.6,11922.28,16543.05,10635.64,6538.721,8638.483,1000.846,16067.56,11423.01,9223.909,7967.711,9100.948,16137.89,6782.739,9662.548,13342.62,15595.96,3197.777,9214.088,6729.114,8723.98,16436.57,13299.1,11878.69,5824.114,1001.726,14395.81,11828.46,18066.89,10267.96,13964.53,7796.389,8081.917,1761.929,7896.896,8301.125,14828.1,12981.52,13155.52,13581.61,1102.975,2848.861,16773.43,15957.22,8990.023,781.5696,14063.87,6637.424,4418.076,9348.107,12436.23,14183.83,9942.475,11168.01,12028.87,10960.46,5688.13,18355.38,14562.64,6222.756,2070.009,12721.27,8580.347,1793.713,8778.741,8601.009,8715.387,11739.21,10720.53,9201.158,7858.3,16930.21,12917.73,12265.52,12067.62,959.7569,8328.585,9845.79,12282.36,11386.03,9678.449,5483.935,3161.668,12732.29,964.7043,408.8065,16271.96,13756.36,13348.89,12161.9,10662.36,11267.38,11603.47
AFG,13257.81,303.7614,7607.8,4342.117,1813.615,15298.5,2266.15,11433.49,4568.098,1822.217,5930.057,5416.121,7481.006,7497.595,2376.978,4043.005,2004.434,12518.58,4428.614,3880.9,13822.82,15349.95,13771.76,12465.55,5741.141,2103.501,8023.767,6188.315,10768.89,5247.043,16353.9,4180.438,8144.624,6842.123,7100.583,14288.69,5824.411,9324.58,14334.57,12952.4,3257.972,4708.024,5226.514,3668.116,4857.692,12709.28,5866.736,14950.6,3584.319,3706.288,7696.608,6290.493,4238.918,4196.206,4254.794,12880.35,5590.381,9494.704,7263.688,5718.078,2270.991,7786.48,8955.442,12384.11,8798.221,8805.014,7088.998,4058.47,12707.12,14157.62,12506.79,12850.2,4566.617,14078.02,4608.2,12861.0,4367.694,6000.786,1003.893,6085.926,1620.826,2285.353,6658.555,3199.193,4935.994,13173.26,3096.229,6278.016,1180.169,5221.581,1043.715,4421.175,5131.888,2079.553,3784.918,3088.869,8699.117,5133.119,12492.83,3261.061,8347.427,4042.829,5304.336,4186.274,4512.573,6811.536,3626.967,6370.142,3406.564,13906.07,4198.337,8056.615,4906.982,3330.212,3443.545,7760.658,8455.042,12452.47,6210.945,6565.831,4846.316,8405.997,12033.22,7082.385,7391.676,14235.58,5361.4,5014.602,1710.066,13762.0,1587.942,374.6522,14179.02,15811.19,5617.854,9528.009,4267.977,12479.58,4989.095,6791.342,14862.55,15755.99,1987.925,6333.151,3367.526,5755.222,2425.437,4222.921,8799.582,5157.892,10680.29,8795.566,14203.46,4380.182,7512.917,12679.81,4508.77,4719.426,4597.182,7872.171,3022.602,5989.595,7601.833,3903.415,459.2474,1042.731,13625.0,12807.0,5252.618,3581.608,5574.784,5380.85,3580.626,15100.65,10847.88,751.2709,12577.82,13208.57,3884.103,11938.98,12020.44,3279.877,9273.133,7048.76,7088.189
AGO,9516.913,7607.8,419.9666,5623.827,5805.255,7792.03,6331.346,13528.2,6357.017,6643.251,1878.576,6696.229,2071.837,2876.135,9121.098,5822.248,5615.473,10490.61,5888.789,7104.678,11578.9,8830.234,6559.966,8414.008,11386.53,9162.635,2223.578,1586.979,10904.94,6235.385,8914.097,11769.51,2480.138,1424.688,556.9467,9911.524,3301.018,4839.974,10980.7,10977.25,5332.035,6560.238,6738.352,4015.184,7179.064,9602.552,5194.244,10205.4,4736.951,3901.954,4917.631,5752.252,7665.317,3464.567,7746.235,16618.51,6510.322,16170.59,1110.371,6837.594,6482.799,2192.395,3804.649,8708.249,4132.186,3941.227,1485.016,5325.223,8613.741,11735.94,7436.134,8109.865,11504.13,11377.58,6086.698,9868.396,6296.004,10294.87,8025.968,7160.81,6368.018,5736.821,8642.954,5096.148,5645.243,10324.34,5140.358,13861.75,8643.737,2744.311,8454.77,10393.31,12705.4,5649.504,10254.81,5301.993,3154.236,4626.358,8580.775,7594.32,2721.224,7158.965,6540.273,7388.835,11443.56,5221.762,6403.256,3857.428,6836.069,12686.0,5719.467,3352.429,4980.603,9555.35,11014.06,2794.277,4395.738,8605.604,4915.372,2314.207,9900.254,1582.875,15503.07,2778.376,2017.813,11252.12,6856.132,7655.045,8745.843,13836.31,6115.173,7889.046,10468.29,9843.897,12159.63,14529.4,6838.712,9222.951,12578.15,5779.503,7684.19,16543.5,5620.981,4718.442,7535.854,2014.346,5207.322,3447.449,4277.941,10104.83,15818.79,3517.934,11580.46,3760.601,1239.145,7771.882,6355.751,6111.597,7599.202,2711.923,5305.969,2345.135,2128.469,9955.721,7803.152,7002.799,16570.23,8557.671,5092.534,5778.666,2880.082,2373.897,6802.643,7581.052,10427.39,7977.375,8587.411,9137.924,10637.65,15999.4,16571.79,4352.742,2844.23,1791.822,2170.012
ALB,9091.742,4342.117,5623.827,63.77311,3702.809,11632.19,2077.855,15722.44,812.9326,2520.89,5067.598,1589.107,4249.507,3845.117,6719.066,324.0465,3285.379,8763.203,303.8697,1505.639,10230.51,11056.12,9943.985,8181.91,10082.97,6426.47,7381.93,4114.247,7606.625,1167.984,12432.5,7686.079,4655.998,4253.419,5092.883,10083.01,6371.083,5090.82,10418.61,9295.044,1366.294,1060.922,1493.096,4015.761,1679.912,8638.148,1533.738,10728.15,1623.328,3426.688,3392.319,1977.061,2041.537,4050.716,2122.475,16745.12,1603.534,13196.33,4676.458,1895.345,2076.242,4453.75,4965.696,8153.266,4694.403,4758.288,4325.311,500.1241,8432.149,10563.5,8166.574,8516.926,8747.532,10354.04,585.956,8840.73,689.0358,10212.24,5322.44,2355.755,2808.604,2343.134,3675.061,1680.884,611.7626,9240.724,1773.421,9501.873,4615.345,5045.083,4444.737,8762.518,8562.792,2868.303,8119.246,1609.733,4933.823,1126.319,8230.828,7028.389,7902.8,1540.066,1404.884,1765.015,8700.824,2473.619,955.9489,7283.476,6737.666,10807.12,155.9628,4178.792,759.1236,7666.058,6559.96,7605.371,4264.968,8197.883,7871.458,6321.25,9108.602,7117.55,16267.53,3539.309,4207.215,10434.08,1664.815,2160.437,6050.166,17971.9,4096.846,4709.623,10127.47,11472.13,9850.101,13790.3,1218.313,8344.56,8371.93,2472.398,10877.48,17197.47,3422.078,7839.226,2063.678,4925.967,3104.873,3119.727,4656.532,9424.125,14760.26,4893.526,10535.93,5067.311,4764.449,8338.317,788.7294,678.3095,2006.998,7621.19,1694.973,3280.218,4321.444,8241.192,4136.511,3299.434,17378.83,8516.849,968.0001,765.4231,5719.308,4740.878,1303.97,11489.65,7439.631,4072.698,8309.629,8971.885,8172.986,16048.52,15940.78,3720.742,8378.26,6381.482,6686.429
ARE,12735.01,1813.615,5805.255,3702.809,108.789,13557.2,1979.161,12092.16,4245.842,1819.476,4119.438,5159.97,5879.008,6035.036,3643.561,3493.288,426.6576,12456.86,3908.161,3961.286,13913.64,14022.32,12129.45,11741.67,6813.557,3539.244,6280.032,4435.249,11105.9,4830.737,14654.8,5966.427,6583.225,5133.86,5308.856,13680.45,4200.173,8135.805,14115.79,12978.95,2348.921,4461.374,5004.562,1861.231,4849.585,12322.73,5048.766,14293.43,2370.061,1914.748,6694.975,5634.667,4521.909,2383.193,4570.317,14221.56,5249.535,11081.51,5535.105,5483.745,2114.942,6195.803,7575.714,11769.94,7505.942,7470.093,5400.135,3264.319,11998.1,14250.57,11468.91,11948.63,6059.646,14053.64,4168.243,12534.01,4030.737,6613.254,2312.871,5925.424,1279.036,1384.182,6924.49,2099.993,4303.976,12941.74,1991.235,8062.889,2932.293,3437.679,2760.658,5501.911,6909.236,835.7674,5029.932,2110.076,7214.983,4112.479,11816.59,3342.212,6642.855,4127.873,4999.584,4355.656,6000.813,5957.76,3379.927,4880.935,3044.644,14372.35,3601.211,6661.39,4011.032,4415.291,5255.396,6084.785,7257.155,11792.17,4978.871,4827.794,5594.997,6607.643,13158.31,5607.444,5782.212,14136.88,5170.816,5174.927,3101.719,14269.96,438.8936,2083.979,13801.21,14751.96,7004.581,10723.96,4181.628,12012.45,6775.818,6107.288,13254.52,17429.45,303.9436,5046.844,3739.195,3943.711,774.5853,2490.013,7540.002,5904.872,12017.19,7373.162,14231.77,2680.361,5800.834,11708.35,4189.749,4284.904,4796.377,6183.374,2024.291,4367.363,6006.473,4967.796,2082.549,1547.007,14953.17,12059.1,4406.945,2994.246,3852.073,3570.466,3545.552,13351.9,11029.46,2318.684,11886.66,12567.75,5265.521,13189.54,13390.29,1466.264,7530.202,5274.503,5347.186
ARG,5396.22,15298.5,7792.03,11632.19,13557.2,625.6475,13417.64,11801.36,11833.76,13853.84,9604.157,11326.76,7854.464,7952.697,16788.4,11954.84,13304.57,6940.775,11694.93,12819.34,6604.474,2239.669,1691.067,5317.702,16656.76,16919.79,8001.549,9125.232,8970.104,11214.51,1128.317,19297.47,7231.426,8456.569,8261.97,4706.263,10331.04,6643.946,5653.427,6909.934,12291.57,11836.83,11512.14,11807.19,12089.47,6036.692,10188.35,4360.514,11838.13,11643.69,8373.64,10065.85,12925.75,11256.4,12971.3,11625.82,11072.25,15167.74,8037.772,11147.48,13503.55,7560.425,6668.47,5649.529,6944.681,6874.063,8210.386,11711.41,5212.585,6446.824,4454.672,4611.63,18478.89,6217.953,11656.09,6101.208,11957.08,15235.78,15817.92,11012.97,13803.13,13110.86,11455.87,12241.62,11173.56,6169.833,12330.83,18372.04,16110.66,10423.36,15918.23,16965.0,19447.35,13226.28,17399.46,12396.9,6772.831,10587.62,5424.776,14774.54,7880.847,12731.28,11333.12,12773.93,18451.92,9348.923,12571.03,10212.05,14040.08,7397.651,11787.62,7493.104,10906.92,16823.83,18125.58,8503.743,7401.539,5490.144,10927.78,9345.976,15970.66,7342.774,12115.31,8342.004,7938.363,5975.677,11466.75,12270.74,16522.17,9729.112,13896.67,15622.21,5334.829,3133.925,17801.66,14425.68,12351.58,5965.636,19419.04,9621.854,1051.13,9013.147,13337.25,10717.1,13505.36,9763.369,12880.18,11085.43,6994.295,15891.11,13668.22,6759.124,6280.052,11411.45,7785.758,4524.356,11879.9,11580.75,12585.03,8359.226,12444.37,9322.412,7739.364,16890.18,15376.08,14471.17,10911.55,5051.895,10668.78,12268.67,10291.12,10137.2,12845.99,215.0746,8542.694,15457.45,5335.351,5114.314,17877.15,12384.6,12468.65,12133.34,6886.516,8756.319,8860.55
ARM,11107.78,2266.15,6331.346,2077.855,1979.161,13417.64,64.92948,13666.9,2399.432,457.5143,5088.729,3299.886,5618.886,5464.988,4642.789,1785.844,1656.715,10600.74,2184.283,1983.94,12023.53,13105.0,11769.69,10241.7,8007.059,4360.26,7479.425,4754.974,9139.136,3051.854,14338.96,5947.15,6198.215,5224.684,5776.592,12118.5,5772.269,7092.814,12346.34,11098.03,1129.579,2582.411,3126.056,3184.07,2897.109,10612.22,3600.677,12772.0,1647.892,2818.984,5437.498,4040.452,2546.553,3510.324,2597.746,15001.08,3434.071,11482.14,5674.918,3619.365,172.7219,5893.944,6817.399,10191.98,6613.235,6642.441,5409.321,1806.064,10489.04,12364.26,10240.65,10593.76,6748.725,12203.89,2391.389,10794.76,2186.893,8175.623,3245.064,4037.116,789.0012,762.4228,4948.93,1254.709,2677.67,11161.47,1196.113,7943.638,2700.251,4680.579,2512.077,6684.962,6882.943,1248.981,6049.0,1063.763,6649.885,2911.988,10282.29,5106.343,7932.732,2151.497,3160.368,2376.555,6698.553,4545.386,1469.285,6579.582,4950.312,12406.08,1936.723,5949.743,2656.562,5588.3,4924.905,7465.288,6235.412,10246.32,6850.985,6127.386,7051.041,7539.966,14270.34,5078.042,5545.438,12316.62,3282.178,3199.743,3975.874,15974.44,2270.178,2635.964,12105.08,13549.98,7832.967,11767.51,2236.784,10343.95,6707.085,4540.028,12787.09,17172.77,1786.216,6889.438,1803.035,4912.365,1741.738,2976.971,6599.537,7366.046,12851.13,6691.235,12366.14,4246.931,5864.971,10415.96,2340.185,2506.938,2817.471,7531.662,1040.517,4251.364,5724.177,6163.356,2094.471,1223.83,15729.9,10579.57,2990.33,1315.561,5261.924,4596.694,1575.587,13248.01,9088.867,2081.25,10363.68,11015.28,6124.733,14132.31,14144.44,2758.486,8671.851,6417.901,6606.1
AUS,15237.5,11433.49,13528.2,15722.44,12092.16,11801.36,13666.9,1042.817,15988.95,13244.84,12673.1,16759.6,15588.36,16383.96,9077.625,15449.53,12518.59,15278.03,15851.07,15157.96,13821.95,13045.96,13371.76,16159.07,5756.495,9413.485,11312.15,14139.34,15586.66,16673.2,11353.72,8956.436,15950.81,14687.67,13759.13,14260.45,10894.3,17855.77,13829.48,14717.39,14426.82,16097.52,16562.72,12390.16,16054.1,15636.41,17139.16,13617.09,14425.52,13000.68,18360.17,17699.45,15241.88,12635.79,15211.41,3224.041,16975.46,4602.055,14576.87,17011.27,13695.83,15717.05,17008.56,16189.21,17449.47,17241.67,14894.97,15337.68,15910.92,13518.06,15999.24,15767.02,7377.491,13788.73,16041.65,15408.26,15795.78,5511.902,10435.1,17230.5,12915.79,13400.57,16632.49,14191.52,16333.25,14968.03,14083.24,7831.446,11415.23,12158.13,11550.83,7037.221,8329.652,12907.86,7731.611,14194.54,16446.83,16157.12,16114.25,8751.808,10838.48,15291.39,16686.87,15331.2,7411.163,18008.29,15056.51,10050.92,9147.749,12985.17,15592.61,16866.65,16101.02,8107.946,10114.63,10738.99,17865.14,16147.37,9105.979,11533.4,6617.087,12088.9,1976.597,16180.32,15521.28,13756.67,16658.11,15963.53,9751.761,2333.461,11674.18,11079.12,14172.62,12809.17,6275.747,2745.258,15607.68,15960.62,8523.643,18190.62,12780.68,6129.841,12389.05,9239.981,14503.07,12709.23,12782.14,13599.55,17604.14,6301.786,2862.103,16790.26,13586.53,11601.35,14762.63,15895.18,15930.48,16152.8,15608.91,10816.67,14109.6,14989.02,15654.92,7539.52,11703.24,12465.73,3585.603,15821.03,16498.66,14960.31,11565.75,12644.1,14956.91,11864.05,16008.79,11828.84,16034.79,15372.93,7769.68,2476.587,3050.82,12510.67,11015.12,11866.07,11469.38
AUT,8719.13,4568.098,6357.017,812.9326,4245.842,11833.76,2399.432,15988.95,108.9196,2783.875,5877.728,914.4633,4835.427,4329.612,6911.951,820.7289,3849.087,8225.953,509.7472,998.225,9671.175,10983.02,10146.47,7898.038,10241.08,6576.896,8176.988,4883.329,6922.538,684.8875,12522.0,7468.012,5152.116,4959.645,5838.688,9738.664,7174.249,5194.904,9950.39,8738.225,2017.949,252.4479,763.7314,4774.016,868.5304,8213.607,1670.577,10396.99,2386.201,4200.483,3462.75,1811.999,1360.358,4841.559,1437.813,16312.15,1035.144,12855.79,5365.809,1238.199,2338.601,5003.89,5247.866,7820.853,4918.574,5016.396,5001.591,1283.6,8139.028,10009.64,8038.661,8311.139,8739.125,9828.929,270.6798,8395.361,215.6626,10553.88,5571.096,1681.996,3184.971,2861.764,2891.521,2369.546,767.4132,8765.403,2446.274,9141.063,4615.688,5854.16,4466.661,8951.857,8289.029,3416.626,8263.672,2252.977,5320.935,1744.687,7925.084,7497.094,8700.506,948.9832,762.4356,1102.181,8697.858,2488.828,944.1378,8083.425,7286.91,10163.51,799.0887,4552.871,1379.07,7883.924,6308.009,8413.984,4439.778,7885.361,8641.501,7133.681,9410.919,7878.468,16114.65,4079.252,4806.406,9931.195,934.7828,1351.699,6237.937,18322.31,4603.866,4915.899,9706.064,11269.33,9853.35,13746.31,556.8245,7950.481,8093.14,2299.266,10991.95,16387.74,3988.084,8618.281,1675.699,5737.457,3734.89,3925.517,4854.112,9723.795,14542.1,5222.959,9999.102,5841.637,5424.645,8171.026,59.61723,277.8844,1242.31,8427.488,2332.466,4014.392,4891.671,8450.441,4285.86,3550.955,16848.06,8240.015,1362.566,1275.02,6527.19,5553.761,1052.484,11712.82,6798.701,4164.072,8009.796,8645.725,8254.594,15797.09,15582.83,4453.244,9145.618,7185.723,7495.149
AZE,11503.0,1822.217,6643.251,2520.89,1819.476,13853.84,457.5143,13244.84,2783.875,110.686,5299.696,3666.25,6031.837,5903.833,4198.656,2220.844,1578.264,10930.66,2609.458,2246.74,12330.6,13560.18,12214.38,10661.57,7562.175,3908.661,7660.868,5082.482,9390.014,3451.508,14789.04,5520.214,6626.284,5592.087,6092.719,12521.46,5831.371,7550.076,12700.44,11413.95,1563.325,2948.413,3485.098,3269.271,3200.641,10990.73,4049.274,13178.53,2040.063,2983.161,5891.335,4470.745,2748.733,3653.07,2789.309,14551.47,3817.547,11043.8,6040.155,3980.449,450.9971,6312.819,7270.398,10599.88,7069.655,7097.385,5789.451,2262.985,10906.77,12671.8,10687.32,11029.5,6291.297,12529.59,2800.249,11164.88,2576.117,7771.583,2811.586,4381.887,540.446,920.6127,5192.978,1637.058,3113.878,11517.74,1561.698,7537.544,2258.179,4821.366,2067.733,6243.39,6461.836,1239.9,5599.605,1464.592,7093.001,3369.194,10696.98,4769.113,8093.409,2416.226,3537.504,2615.883,6241.078,4992.822,1840.697,6597.249,4671.25,12647.82,2376.292,6398.833,3113.292,5150.849,4522.471,7597.071,6692.925,10659.34,6783.436,6271.172,6635.911,7784.538,13813.19,5511.833,5955.451,12653.6,3633.827,3456.329,3529.277,15564.51,2036.348,2188.738,12480.55,13989.34,7375.604,11310.84,2559.243,10733.52,6289.104,4971.342,13239.24,16880.05,1689.445,6839.766,1930.747,5120.831,1773.205,3232.432,7056.658,6950.117,12395.39,7140.804,12683.94,4290.901,6242.133,10857.64,2724.262,2913.774,3055.698,7673.23,1426.07,4634.327,6140.07,5724.86,1637.07,780.9175,15283.39,11001.1,3443.674,1763.672,5366.102,4787.278,1873.832,13680.77,9371.842,1628.19,10779.8,11424.41,5669.295,13675.63,13693.54,2832.204,8876.221,6604.388,6765.059
