countries,ABW,AFG,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHI,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GTM,GUF,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MTQ,MUS,MWI,MYS,MYT,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE,TOTAL
ABW,0,0,0,0,0,0,0,8,1,0,0,0,0,0,24,1,0,0,0,0,0,0,0,1,0,0,0,0,51,1,0,1,0,0,0,0,0,40,0,0,3,0,0,0,11,0,1,84,0,13,0,0,0,42,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,1,0,3,0,0,3,0,22,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,587,0,0,147,0,0,0,0,0,0,0,0,1179
AFG,0,0,0,0,2255,3,0,11764,3027,37,0,1068,0,0,198,154,288,0,0,188,0,1,26,0,0,0,0,0,18500,1474,0,8,0,0,0,0,0,54,0,0,1,0,4,356,45274,0,5374,2,2,35,34,0,0,0,3,0,1471,0,1461,0,0,19006,9,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,465,0,0,99,606331,107,3,1144,1785,0,4,0,585,0,13,0,10,117,0,0,0,37,0,0,0,12,0,23,0,0,63,0,0,4,0,0,1,0,0,0,0,1,0,0,0,154,0,0,0,0,0,4,12694,4865,0,1104,0,0,3,0,433,0,74,1,0,6,0,0,0,550,0,4,5876,0,796,0,0,0,0,0,0,0,0,0,0,0,88,6,7004,0,604,0,0,10,1303,21,0,0,0,0,5010,0,0,419,0,25251,192,0,7,0,0,0,0,0,17,0,0,789484
AGO,0,0,0,0,0,5,0,185,53,0,0,208,0,0,1278,1,0,1,0,0,0,1,1952,0,0,0,462,6,847,875,14,25,0,0,0,0,172,13,0,699,1,13,9,22,110,0,36,9,0,3,0,178,0,930,0,0,33,0,2365,0,113,4244,0,0,12,1,0,0,22,2,0,0,0,0,0,0,0,0,0,21,0,0,233,0,0,7,3,514,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,15,0,9,0,0,0,0,0,0,0,0,42,0,0,11441,0,0,22,1,937,38,0,85,0,0,5,2,758,0,5,1,0,39119,1,0,0,0,0,1,56,302,0,0,0,0,0,0,0,0,0,0,106,0,11,1,101,31,0,0,0,4,0,0,0,0,0,0,1,174,0,0,0,2892,0,0,87,0,96,0,0,0,5610,58976,0,136771
ALB,0,0,0,0,0,50,0,695,1312,0,0,1687,0,0,155,1007,0,0,3817,2,0,2,0,0,0,0,0,0,6254,3696,0,13,0,0,0,0,0,12,0,0,1,7,153,337,26639,0,170,13,0,53,0,0,0,1186,0,0,135,0,2221,0,0,11465,0,0,0,0,0,0,0,432145,0,0,0,0,0,0,0,1205,0,157,0,0,303,0,0,21,9,314841,0,6,0,0,0,0,0,0,0,0,0,0,63,0,0,0,10,132,4,0,0,0,0,0,4,18219,0,55,0,16604,0,0,0,0,0,0,0,0,0,0,0,0,0,1571,510,0,47,0,0,10,0,154,0,101,0,0,38,0,0,0,0,0,604,274,0,0,0,0,0,0,0,0,0,6294,0,0,0,114,139,682,0,0,0,0,0,0,0,0,0,0,0,1337,0,0,1,0,38337,0,0,6,0,45,0,0,0,132,0,0,895256
ARE,9,1497,0,0,0,1,0,14763,637,3,0,80,1,0,79,252,16620,1,0,0,0,6,93,7,3,1,7,46,35606,1101,113,38,27,5,21,314,4,158,0,0,8,5,573,61,1134,0,1073,10,1988,21,2276,825,0,401,0,34,262,0,54061,0,3,124,0,5,2,2,0,0,0,115,0,0,0,0,2,101,6,1,2,733,20,38344,1061,439,1096,7,140,843,14,2242,27,267,177,1,338,6,49498,0,907,27,6739,3,0,0,112,1,31,0,0,0,0,0,628,18,0,59,0,0,0,0,391,0,1,13,18,0,0,1,2,16,5,1406,765,0,2673,15150,0,16,18,1583,0,516,156,1,40,1,34004,0,34110,0,666,1133,7,10,30109,0,0,0,3,0,0,1,9941,0,17,214,36,2405,0,691,1507,1,1479,0,2,0,0,9,1,232,1,624,0,0,30928,13,1,94,0,15,0,0,40295,781,0,1,450469
ARG,19,16,422,56,67,0,0,13123,3223,24,5,3703,2,1,1272,971,16,97,167,114,3,34355,22862,5,2,1,100,58,21834,12426,54,64342,317,16,7,7,34,5090,0,120,877,18,345,3092,36672,0,1819,4427,245,13395,108,0,0,401113,32,1,911,0,22317,0,16,10348,0,32,117,23,0,6,836,2997,0,202,13,0,10,68,92,599,1307,2205,21,0,3756,209,17,286,41891,168105,12,88,2167,1063,0,1,18,55,0,0,988,247,42,5,0,0,171,968,163,0,0,7,51,0,12929,21,2,65,0,29,3,1,151,6,41,0,0,5,3,72,0,0,26,3324,1669,0,1910,0,0,1732,480,1154,0,3074,749,13,5913,70048,40,14,15,15,5280,1952,6,9,16,7,25,0,5,41,0,1568,16,0,47,1279,1040,4009,0,83,3,2,504,0,15,9,0,6,16,1615,58,96,470,13302,120943,15,0,10581,0,128,1,0,18,11000,2,0,1187176
ARM,0,0,0,7,16,1227,0,1549,3380,79619,0,1733,0,0,9,2991,1,0,4,9149,0,8,34,0,0,0,0,8,2614,986,0,18,24,0,0,0,28,39,0,7,9,1,1565,2605,47768,0,728,13,45,67,7,0,0,5465,504,0,1053,0,12564,0,9,403,122,2,32,0,0,0,0,16159,0,0,0,0,0,0,1,0,0,494,0,0,249,21657,194,19,10588,2255,0,96,96,30982,0,1872,9,40,0,0,402,0,130,0,0,0,670,12,1786,0,0,1693,3,0,268,17,3,36,0,2,15,0,2,0,0,0,0,0,0,0,0,0,0,1175,487,0,125,0,0,16,1,387,0,2062,0,0,369,1,5,0,2,0,250,533525,0,1,0,0,0,0,4,0,0,82,0,0,0,307,35,2371,0,214,0,0,0,51,3963,0,0,0,0,7848,0,36,85016,0,68297,13505,0,56,0,0,0,0,13,120,0,0,986487
AUS,218,0,731,1172,1,63,0,0,9153,75,0,4531,6,8,1234,1447,0,43,8862,185,0,187,722,25,276,16,637,70,14977,9206,25,2420,3829,36,0,352,59,340,0,15,35,1,13466,6604,61131,0,3436,113,347,1377,182,0,19,35037,58,0,1762,297,7003,2,72,90463,0,62,166,13,1,4,26,72181,0,15,0,0,0,3894,2,1936,26,7944,27511,0,8181,1695,51,629,6097,106085,0,698,5003,2103,16,2,2325,3160,0,12,8553,68,27,16,0,0,249,637,325,35,0,25,41,0,547,372,7,2699,0,568,202,9,10,0,136,56,936,0,234,219,2,968,0,6585,4766,0,46579,0,0,209,139,2749,0,3203,19,220,4035,48,125,25,0,0,4526,3616,322,0,156,18,4744,0,4,3,0,13371,1162,0,390,5646,2693,5679,39,37,8,8,18109,0,20,520,0,0,8,14775,40,67,479,1,35866,52,0,458,0,264,439,168,178,39819,43,0,771535
AUT,0,2188,114,108,0,0,0,764,0,8,53,589,21,80,701,87,0,2,34507,0,0,6,11,0,0,2,8,8,345,3592,0,13,0,150,0,386,2,10,0,0,14,0,56,7145,12825,0,270,153,14,15,6,0,0,3636,0,0,87,0,578,0,7,3704,0,0,250,0,0,0,7,80,0,0,0,0,0,8,2,716,34,4194,0,0,208,1668,8,26,268,2853,0,0,35,292,5,3,280,3,0,0,0,195,0,0,0,0,12,130,44,0,0,4,0,0,121,8,7,17,0,409,1,0,0,0,0,2,1,0,62,0,4,3,0,152,410,3,61,0,0,9,0,408,0,603,12,0,131,8,0,0,1,0,252,224,345,0,124,0,6,0,30,0,0,9774,293,0,0,6034,2527,687,0,1,31,37,1157,0,3,0,0,0,0,1395,3,30,1,0,515,18,0,42,0,55,0,0,34,825,1,0,110467
AZE,0,0,0,2,0,82,3,421,740,0,0,103,0,0,5,626,0,1,5,3417,0,3,18,0,0,0,1,0,566,292,0,15,14,0,0,0,11,12,0,2,5,0,158,327,27513,0,98,15,3,6,2,0,0,780,31,0,571,0,340,0,0,443,0,1,19,0,0,0,0,376,0,0,0,0,0,18,0,17,2,308,0,0,238,717,7,15,8473,815,0,21,52,3801,0,225,4,28,0,0,11,5,5,0,0,0,10,5,1852,1,0,2,0,0,33,0,1,9,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,265,110,1,85,0,0,5,1,7,0,380,0,0,203,3,0,0,0,0,23,156638,3,0,0,1,1,0,1,0,0,77,0,0,0,122,22,214,0,0,0,2,9,0,1772,0,0,0,0,4973,1,4,28820,0,12594,1785,0,9,0,1,0,0,0,196,0,0,262034
