countries,ABW,AFG,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHI,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GTM,GUF,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MTQ,MUS,MWI,MYS,MYT,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE,TOTAL
ABW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,0,0,0,0,0,0,0,4,0,0,0,591,0,0,0,358,0,0,0,0,0,1,0,0,0,0,0,0,709,0,0,0,0,0,0,0,0,0,0,0,0,0,33,74,7276,0,50,0,0,24,0,0,0,438,0,0,54,0,666,0,0,6939,0,0,0,0,0,0,0,20884,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,2,0,56024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,8275,0,0,0,0,0,0,0,0,0,0,0,0,0,141,64,0,5,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2187,0,0,0,0,0,0,0,0,0,0,0,105413
ARE,2,376,0,0,0,0,0,4080,263,3,0,57,0,0,0,107,2828,0,0,0,0,2,23,1,1,0,6,0,9936,412,25,13,2,0,15,0,0,47,0,0,0,2,194,25,1105,0,308,0,739,10,794,825,0,220,0,0,87,0,18344,0,0,90,0,1,0,1,0,0,0,98,0,0,0,0,0,0,0,0,0,216,20,9673,306,439,297,1,49,347,1,145,0,267,2,1,0,2,14137,0,0,0,1875,1,0,0,38,0,10,0,0,0,0,0,10,18,0,16,0,0,0,0,122,0,1,0,1,0,0,1,0,0,1,553,245,0,818,2255,0,3,5,319,0,184,0,0,11,0,8859,0,6349,0,412,365,0,10,1127,0,0,0,0,0,0,0,2708,0,5,66,11,857,0,690,1432,0,4,0,2,0,0,0,0,130,0,9,0,0,7756,13,0,73,0,1,0,0,0,365,0,0,104676
ARG,10,3,86,18,3,0,0,1559,873,7,0,805,1,0,0,314,0,40,0,60,1,12696,1124,2,1,0,37,5,5950,3104,17,10190,11,0,6,0,2,1668,0,31,125,14,134,379,5611,0,362,420,136,5195,30,0,0,178742,13,0,257,0,4073,0,1,3046,0,5,0,7,0,0,164,774,0,26,1,0,2,0,0,28,203,500,13,0,693,111,1,69,11262,76448,4,2,108,131,0,0,0,23,0,0,1,0,1,2,0,0,63,116,51,0,0,0,31,0,2712,6,0,22,0,12,1,0,54,0,4,0,0,5,0,31,0,0,12,1063,403,0,548,0,0,561,216,130,0,1215,13,1,842,20891,0,0,1,15,2063,579,0,6,1,0,7,0,4,11,0,5,4,0,19,224,214,722,0,73,2,0,207,0,0,0,0,1,0,561,0,21,113,188,25251,2,0,3194,0,19,1,0,0,2824,0,0,393076
ARM,0,0,0,2,0,0,0,31,309,35971,0,1295,0,0,0,1253,0,0,0,518,0,4,18,0,0,0,0,0,541,288,0,0,4,0,0,0,0,9,0,3,0,0,304,954,2869,0,87,0,38,31,7,0,0,3075,61,0,55,0,4552,0,0,76,80,0,0,0,0,0,0,697,0,0,0,0,0,0,0,0,0,97,0,0,7,10180,5,2,89,854,0,0,0,9408,0,21,0,0,0,0,0,0,0,0,0,0,138,0,1,0,0,0,1,0,0,8,0,3,0,1,9,0,1,0,0,0,0,0,0,0,0,0,0,457,198,0,17,0,0,1,0,0,0,731,0,0,82,0,0,0,0,0,173,28757,0,1,0,0,0,0,1,0,0,0,0,0,0,11,5,1159,0,214,0,0,0,0,85,0,0,0,0,2522,0,2,1382,0,360,387,0,14,0,0,0,0,0,13,0,0,110529
AUS,151,0,112,372,0,6,0,0,4265,21,0,2229,0,0,0,691,0,6,0,50,0,109,202,9,114,8,185,4,5331,4726,16,143,1070,0,0,0,1,198,0,9,6,1,5803,825,15678,0,1142,19,207,786,79,0,11,20305,12,0,619,0,4095,0,0,31567,0,12,0,12,0,0,11,21187,0,4,0,0,0,0,0,441,16,2586,2784,0,2517,424,3,258,1223,56598,0,0,345,431,0,1,22,1463,0,6,0,0,27,6,0,0,111,249,115,0,0,0,32,0,46,114,0,990,0,138,91,0,6,0,40,0,339,0,0,109,0,169,0,2850,1671,0,16132,0,0,103,46,571,0,1789,0,76,893,21,0,11,0,0,2523,1104,4,0,0,0,368,0,3,1,0,52,0,0,307,413,708,1783,4,37,1,0,5106,0,1,0,0,0,0,7459,0,36,56,0,6388,10,0,373,0,37,205,0,0,4663,1,0,249915
AUT,0,53,0,0,0,0,0,3,0,0,0,143,0,0,0,18,0,0,0,0,0,1,0,0,0,0,0,0,4,466,0,0,0,0,0,0,0,1,0,0,0,0,9,44,3182,0,24,0,5,4,1,0,0,1165,0,0,16,0,168,0,0,178,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,952,0,0,13,160,0,1,1,840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,7,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,57,10,0,1,0,0,0,0,0,0,189,0,0,26,0,0,0,0,0,87,0,0,0,18,0,0,0,29,0,0,0,44,0,0,674,82,11,0,1,27,0,0,0,0,0,0,0,0,352,0,0,0,0,3,0,0,1,0,0,0,0,0,18,0,0,9138
AZE,0,0,0,0,0,0,0,0,66,0,0,23,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,4,10,107,0,4,0,1,1,1,0,0,250,0,0,4,0,47,0,0,139,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,20,0,0,10,7,0,2,2,263,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,19,0,1,0,0,0,0,1,0,25,0,0,6,0,0,0,0,0,7,135,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,11,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1476
BDI,0,0,10,0,0,0,0,5,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,0,0,0,0,0,1127,51,0,0,0,0,0,0,0,2,0,2,0,0,0,0,3,0,8,0,0,2,0,42,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,16,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,11,0,0,0,0,0,0,0,0,0,128,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,441,0,0,2,0,0,0,0,0,0,0,0,34,24,0,2008
BEL,0,0,0,1,0,0,0,2,89,0,0,0,0,0,0,66,0,0,3,0,0,7,0,0,0,0,0,0,0,615,0,0,0,0,0,0,0,7,0,0,0,0,17,17,19,0,49,0,18,35,1,0,0,3868,0,0,43,0,5106,0,0,20,0,0,0,1,0,0,0,27,0,0,0,0,0,0,0,0,0,164,0,0,135,0,0,0,191,6912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,357,20,0,0,0,4,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,24,5,0,6,0,0,6,0,0,0,870,0,0,79,0,0,0,0,0,215,0,0,0,0,0,0,0,62,0,0,0,0,0,0,107,10,83,0,0,0,0,0,0,0,0,0,0,0,371,0,1,0,0,0,0,0,0,0,0,0,0,0,263,0,0,19925
BEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFA,0,0,0,0,2,12,0,135,159,0,0,269,8652,0,0,13,0,0,0,0,0,0,21,0,0,0,0,104,995,627,0,1,0,123186,76,0,93,3,0,2,0,0,3,19,2154,0,88,1,7,7,38,0,6,1745,0,0,42,0,8718,0,3688,2283,0,55529,140,0,3,1,0,47,0,0,0,0,0,0,0,0,0,7,0,0,52,0,0,1,0,8719,0,1,8,0,0,0,0,1,0,0,0,134,10,1,0,1,0,3,0,0,0,0,0,0,3,0,7118,1,0,0,0,0,55,0,0,0,0,0,0,0,9586,6757,0,620,48,0,11,0,0,1,3,1,0,5,0,0,32,0,0,0,0,0,0,417,0,7,0,10,0,0,135,0,0,0,5,14,0,2,4,121,0,0,60,463,0,0,0,0,0,0,0,6,0,0,0,0,3716,0,0,1,0,0,0,0,0,177,1,0,247187
BGD,20,255,1713,1,183874,12,0,13017,1304,0,0,735,0,0,0,461,11942,6,0,3,0,17,42,4,334,29,22,1,17870,1312,108,27,2002,0,4,0,0,13,0,0,2,1,443,117,3387,0,454,3,199,46,170,1,0,8417,1,0,806,299,3400,0,0,75070,0,2,0,1,0,0,5,9572,0,0,0,5,1,84,0,1,1,166,151,439421,795,603,0,17,333,38546,5,2330,3727,10,0,0,5,1858,56348,3,1222,0,284,1,0,0,16,25,16,14,0,0,41,10222,95,0,0,15,193,11,4,0,10,0,4,0,137097,6,0,28,0,0,0,764,439,153,1239,68,34273,24,0,25,1,242,0,105,889,2,0,0,34713,20,139,247,0,428873,2,0,16519,53,2,1,2,0,8,0,3,30,16,3231,0,71,3,0,23509,0,0,0,0,1,0,595,0,96,5,1,84997,1,1,25,0,230,1,0,0,1950,0,0,1664807
BGR,0,0,0,0,0,0,0,0,0,0,0,3312,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,183,154,0,0,0,0,0,0,0,1,0,0,0,0,249,901,4850,0,403,0,0,28,0,0,0,37351,0,0,92,0,493,0,0,7522,0,0,0,0,0,0,0,2087,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,8559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,107,130,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2650,112,0,0,0,0,0,0,0,0,16,0,0,1029,0,0,0,0,0,3661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,74554
BHR,0,48,0,0,892,7,0,600,53,1,0,16,0,0,7805,17,0,0,0,0,0,1,14,1,1,0,3,0,1063,236,11,4,2,0,2,0,0,6,0,0,0,0,102,14,364,0,51,14,191,2,168,167,0,83,0,0,19,0,279,0,0,166,0,1,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,19,7,0,74,78,7,1,38,150,1,94,2,89,9,0,0,14,316,0,71,0,337,0,0,0,1,0,2,0,0,0,0,0,3,7,0,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,104,33,0,202,16,0,2,1,0,0,20,0,0,3,0,3502,0,191,0,67,12,0,246,141,0,1,0,1,0,0,0,319,0,1,12,0,113,0,182,187,0,1,0,1,0,0,0,0,45,0,3,0,0,1284,4,0,16,0,472,0,0,10,140,0,0,21091
BHS,1,0,0,0,0,0,0,31,11,0,0,3,0,0,0,3,0,0,0,0,0,6,8,23,0,0,1,0,219,38,9,4,2,0,1,0,0,7,0,0,1,0,3,1,13,0,4,17,1,40,3,0,0,55,0,0,3,0,26,0,0,105,0,0,0,0,0,0,1,12,5,0,0,0,5,0,0,0,2,5,2,0,27,1,0,2,6,78,196,0,0,2,0,0,0,6,0,0,0,0,0,5,0,0,1,1,0,0,0,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,14,3,0,41,0,0,3,0,2,0,7,0,0,4,1,0,0,0,1,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,3275,0,1,5,0,0,0,0,0,31,0,0,4425
BIH,0,0,0,1100,0,0,0,522,1471,0,0,133,0,0,0,70,0,0,0,2,0,2,27,0,0,0,0,0,592,742,0,4,0,0,0,0,0,2,0,0,0,0,25,97,5069,0,38,0,1,6,1,0,0,504,0,0,9,0,424,0,0,609,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,697,0,592,0,0,123,0,0,11,6,1321,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,36,2,0,0,0,1,0,2,215,0,9,0,617,0,0,0,0,0,0,0,0,0,1,0,0,0,125,107,0,24,0,0,2,0,0,0,49,0,0,11,0,0,0,0,1,123,46,0,0,0,0,0,0,0,0,0,76,0,0,0,49,826,187,0,1,0,0,0,0,0,0,0,0,0,875,0,0,4,0,312,0,0,10,0,0,0,0,0,22,0,0,18093
BLR,0,12,0,0,0,0,0,7,132,158,0,250,0,0,0,141,0,0,0,0,0,0,1,0,0,0,0,0,647,231,0,0,0,0,0,0,0,1,0,0,0,0,30,1187,4198,0,152,0,29,2,6,0,0,797,608,0,63,0,586,0,0,16,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,41,0,0,46,14,0,9,0,5369,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,2736,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,159,0,11,0,0,0,0,0,0,9032,0,0,199,0,0,0,0,0,0,5944,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,496,0,0,0,0,0,0,0,0,0,0,0,19,0,0,10013,0,2355,0,0,0,0,0,0,0,0,4,0,0,46001
BLZ,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,2,0,3,0,0,0,492,2,0,0,0,0,0,631,28,0,0,0,0,0,0,0,3,0,0,13,1,0,1,0,0,3,10,0,3,1,0,0,1,0,0,0,0,4,0,0,1471,0,0,0,0,0,0,0,1,0,51,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6143,0,0,5,0,0,0,0,0,0,0,0,9419
BOL,0,0,0,0,0,44466,0,23,75,0,0,0,0,0,0,10,0,0,0,0,0,0,6009,0,0,0,0,0,902,880,0,5934,0,0,0,0,0,225,0,0,0,0,3,22,204,0,134,7,0,789,0,0,0,98771,0,0,41,0,919,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,18,0,0,3,0,0,0,0,5359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,53,0,24,0,0,45,0,0,0,22,0,0,85,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,686,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8869,0,0,251,0,0,0,0,0,9,0,0,175265
