countries,ABW,AFG,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GTM,GUF,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNG,MOZ,MRT,MTQ,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PYF,QAT,REU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,STP,SUR,SVK,SVN,SWE,SWZ,SYR,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
ABW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,0,0,0,0,0,50,0,595,1312,0,0,664,0,0,155,199,0,0,0,2,0,1,0,0,0,0,0,0,3024,3696,12,0,0,0,0,12,0,0,0,7,81,120,12973,0,45,10,0,14,0,0,0,342,0,0,21,0,1359,0,0,109,0,0,0,0,0,0,0,229298,0,0,0,0,0,0,1205,0,92,0,0,176,0,0,11,9,134826,0,6,0,0,0,0,0,0,0,0,0,0,63,0,0,0,2,132,3,0,0,0,0,0,3,11293,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,1337,310,0,32,0,0,6,0,154,0,23,0,0,28,0,0,0,0,274,0,0,0,0,0,0,0,0,0,0,0,71,77,168,0,0,0,0,0,0,0,0,0,0,1337,0,0,1,0,18081,0,0,6,25,0,0,0,114,0,0
ARE,1,1121,0,0,0,0,0,742,79,0,0,13,1,0,1,14,905,0,0,0,0,0,1,0,0,0,1,46,3692,88,5,0,5,6,4,15,0,0,0,0,44,12,22,0,118,0,190,1,63,0,0,15,0,34,21,0,149,0,3,19,0,2,2,0,0,0,0,10,0,0,0,0,0,0,0,0,85,0,7383,145,0,252,0,26,24,0,1794,2,0,164,0,0,0,2885,0,906,0,1048,0,0,0,6,0,2,0,0,0,0,0,10,0,0,6,0,0,0,56,0,0,0,0,0,0,2,16,0,28,49,0,237,4862,0,2,1,219,0,49,0,0,8,0,0,1469,0,97,0,0,28831,0,0,0,0,0,0,0,2,9,2,201,0,1,75,0,0,0,0,0,0,1,24,0,0,0,0,3699,0,0,3,0,0,0,40295,140,0,0
ARG,2,13,238,0,8,0,0,3107,1126,0,0,1512,1,1,681,94,0,2,0,2,0,3276,11971,0,0,0,26,36,1728,5172,31656,149,16,1,15,60,0,31,8,0,49,174,23288,0,368,704,6,867,0,0,0,16899,2,1,111,0,13411,0,15,2362,0,21,117,3,0,6,208,981,0,0,3,2,5,2,281,205,317,0,0,1230,47,12,34,9506,293,0,77,948,6,0,0,1,0,0,0,983,32,38,0,0,0,0,339,17,0,0,0,9,0,1064,3,2,16,0,0,1,41,2,17,0,0,3,20,0,0,0,975,145,0,396,0,0,85,0,330,0,31,79,6,3026,13332,4,0,0,27,0,0,15,7,0,0,0,0,0,0,8,283,139,1179,0,0,1,1,0,0,14,0,0,4,204,14,0,10,4486,5143,2,0,334,35,0,0,18,4996,2,0
ARM,0,0,0,0,9,729,0,767,1994,1758,0,72,0,0,6,437,0,0,0,6160,0,1,11,0,0,0,0,8,1119,388,14,8,0,0,25,12,0,2,3,1,613,577,30673,0,339,6,3,19,0,0,0,927,237,0,557,0,4333,0,8,196,0,2,32,0,0,0,0,10361,0,0,0,0,0,0,0,0,236,0,0,129,4298,161,9,8879,511,0,94,62,6236,0,1201,2,24,0,0,401,0,129,0,0,0,357,9,1151,0,0,1353,2,0,94,5,3,19,0,0,0,1,0,0,0,0,0,0,0,0,0,382,87,0,61,0,0,5,0,152,0,833,0,0,156,1,0,0,0,342382,0,0,0,0,0,0,1,0,0,0,0,157,16,328,0,0,0,0,0,51,3501,0,0,0,3779,0,3,51408,0,32539,10416,0,23,0,0,0,13,95,0,0
AUS,67,0,615,0,0,29,0,0,1511,0,0,618,6,8,1146,31,0,15,0,17,0,5,172,2,48,0,340,57,2407,1803,1888,362,35,0,51,0,0,3,0,0,2974,290,28918,0,498,12,0,38,0,0,3,2249,7,0,174,0,562,2,72,18617,0,42,163,1,1,4,6,28316,0,0,0,0,122,0,550,1,428,24086,0,2281,247,44,21,2622,1295,0,692,2028,0,1,0,61,193,0,0,8545,3,0,1,0,0,0,113,45,0,0,3,0,0,108,0,7,1004,0,0,9,3,0,37,32,177,234,41,2,473,0,1794,339,0,13509,0,0,1,35,1045,0,14,2,22,2253,10,6,0,0,0,0,0,156,18,352,0,1,0,0,0,83,1781,54,1280,9,0,7,5,0,0,12,0,0,1,470,2,0,0,1,4289,0,0,9,87,79,84,178,33212,40,0
AUT,0,2135,113,0,0,0,0,1,0,0,0,0,21,80,0,0,0,0,0,0,0,0,0,0,0,0,8,8,12,0,0,0,150,0,2,0,0,0,0,0,0,1,5,0,7,0,0,0,0,0,0,2,0,0,2,0,0,0,7,0,0,0,232,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,7,0,0,0,0,65,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,61,0,3,3,0,0,5,0,7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,106,0,0,0,1,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,38,0,0,0,0,0,0,34,748,1,0
AZE,0,0,0,0,0,42,0,136,339,0,0,44,0,0,2,186,0,0,0,1782,0,0,4,0,0,0,1,0,120,92,4,4,0,0,11,2,0,1,0,0,69,161,15130,0,30,1,1,3,0,0,0,188,1,0,229,0,130,0,0,92,0,1,19,0,0,0,0,230,0,0,0,0,0,0,9,0,133,0,0,72,278,3,4,5277,211,0,17,23,1979,0,0,1,12,0,0,8,0,4,0,0,0,6,2,608,0,0,0,0,0,4,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,120,31,0,30,0,0,1,0,1,0,175,0,0,112,1,0,0,0,75308,0,0,0,1,0,0,0,0,0,0,0,62,7,91,0,0,0,0,0,0,1772,0,0,0,2142,0,0,13171,0,2589,1785,0,1,0,0,0,0,118,0,0
